Songs,Lyrics
Saint Pablo,"[Intro: Kanye West]Yeah-yeah, 9:08 L.A. timeBack in the lab and shit[Verse 1: Kanye West]My wife said I can't say no to nobodyAnd at this rate, we gon' both die brokeGot friends that ask me for money knowin' I'm in debtAnd like my wife said, I still didn't say noPeople tryna say I'm goin' crazy on TwitterMy friends' best advice was to stay lowI guess it's hard to decipher all of the billsEspecially when you got family members on payrollThe media said it was outlandish spendin'The media said he's way out of controlI just feel like I'm the only one not pretendin'I'm not out of control, I'm just not in their controlI know I'm the most influentialThat TIME cover was just confirmationThis generation's closest thing to EinsteinSo don't worry about me, I'm fineI can see a thousand years from now in real lifeSkate on the paradigm and shift it when I feel likeTroll conventional thought, don't need to questionI know it's antiquated so sometimes I get aggressiveThank God for Jay Electra, he down with the missionDid it with no permission, on our own conditionsMost blacks with money have been beaten to submissionYeezy with the big house, did it way differentNever listen to Hollywood producersDon't stare at money too long, it's MedusaThe ultimate Gemini has survivedI wasn't supposed to make it past 25"
On Sight,"[Produced by Benji B, Daft Punk, Kanye West & Mike Dean][Verse 1: Kanye West]Yeezy season approachin'Fuck whatever y'all been hearin'Fuck what, fuck whatever y'all been wearin'A monster about to come alive againSoon as I pull up and park the BenzWe get this bitch shaking like Parkinson'sTake my number and lock it inIndian hair, no moccasinsIt's too many hoes in this house of sinReal nigga back in the house againBlack Timbs all on your couch againBlack dick all in your spouse againAnd I know she like chocolate menShe got more niggas off than Cochran, hah![Chorus: Kanye West]On sight, on sight[Bridge: Kanye West]How much do I not give a fuck?Let me show you right now 'fore you give it upHow much do I not give a fuck?Let me show you right now 'fore you give it up"
Black Skinhead,"[Produced By Daft Punk & Kanye West][Verse 1]For my theme song (Black)My leather black jeans on (Black)My by-any-means onPardon, I'm getting my scream on (Black)Enter the kingdom (Black)But watch who you bring homeThey see a black man with a white womanAt the top floor they gone come to kill King KongMiddle America packed in (Black)Came to see me in my black skin (Black)Number one question they're askin'Fuck every question you askin' (Black)If I don't get ran out by Catholics (Black)Here come some conservative BaptistsClaiming I'm overreactin'Like them black kids in Chiraq, bitch[Chorus]Four in the mornin', and I'm zonin'They say I'm possessed, it's an omenI keep it 300, like the Romans300 bitches, where the Trojans?Baby, we livin' in the momentI've been a menace for the longestBut I ain't finished, I'm devotedAnd you know it, and you know it"
I Am A God,"[Produced by  Daft Punk, Hudson Mohawke, Kanye West & Mike Dean][Intro: Kanye West & Capelton]Blazin', mi don't want demMi need demBlazinSuh mi tek har outta bugah red and put her in a tall skirtAnd now she find out what life is really worthNo to X ratedYo mi tek har outta bugah red and put her in a tall skirtAnd now she find out what life is really worthNo to X ratedI am a GodI am a GodI am a God[Chorus: Kanye West]I am a GodHurry up with my damn massageHurry up with my damn ménageGet the Porsche out the damn garageI am a GodEven though I'm a man of GodMy whole life in the hand of GodSo y'all better quit playin' with God"
New Slaves,"[Intro: Swizz Beats]Chill, chill, chill, chill, chill, chillChill, chill, chill, chill, chill, chillChill, chill, chill, chill, chill, chillChill, chill, chill, chill, chill, chill[Verse 1: Kanye West]My mama was raised in the era whenClean water was only served to the fairer skinDoin' clothes, you would've thought I had helpBut they wasn't satisfied unless I picked the cotton myselfYou see it's broke nigga racismThat's that, ""Don't touch anything in the store""And it's rich nigga racismThat's that, ""Come in, please buy more""""What you want, a Bentley? Fur coat? A diamond chain?All you blacks want all the same things""Used to only be niggas, now everybody playin'Spendin' everything on Alexander WangNew slaves[Refrain: Kanye West]You see it's leaders and it's followersBut I'd rather be a dick than a swallowerYou see it's leaders and it's followersBut I'd rather be a dick than a swallower"
Hold My Liquor,"[Produced by Arca, Kanye West, Mike Dean, and Noah Goldstein][Intro: Justin Vernon]I can hold my liquorBut this man can't handle his weedDark and lonely nowOn Chicago, south of townI'm onto IndianaI heard it in the radio now[Refrain: Chief Keef]I can't handle no liquorBut these bitches can't handle meI can't control my niggasAnd my niggas, they can't control meYou say you know me, my niggaBut you really just know the old me[Verse: Kanye West]Bitch, I'm back out my comaWakin' up on your sofaWhen I parked my Range RoverSlightly scratched your CorollaOkay, I smashed your CorollaI'm hangin' on a hangoverFive years we been overAsk me why I came overOne more hit and I can own yaOne more fuck and I can own yaOne cold night in OctoberPussy had me floatin'Feel like Deepak ChopraPussy had me deadMight call 2Pac overYeezy's all on your sofaThese the Red OctobersStill ain't learn me no mannersYou love me when I ain't soberYou love me when I'm hungoverEven when I blow dojaThen her auntie came overSkinny bitch with no shouldersTellin' you that I'm bogusBitch, you don't even know us""Baby girl, he's a lonerBaby girl, he's a loner""Late-night organ donorAfter that, he disown yaAfter that, he's just hopelessSoul mates become soulless""When it's over, it's over""And, bitch, I'm back out my coma"
I'm In It,
Blood On The Leaves,"[Produced by TNGHT, Kanye West, Mike Dean, Arca, Carlos ""6 July"" Broady, and 88 Keys][Intro: Nina Simone]Strange fruit hangin' from the poplar treesBlood on the leaves[Verse 1]I just need to clear my mind nowIt's been racin' since the summertimeNow I'm holdin' down the summer nowAnd all I want is what I can't buy now'Cause I ain't got the money on me right nowAnd I told you to waitYeah, I told you to waitSo I'ma need a little more time now'Cause I ain't got the money on me right nowAnd I thought you could waitYeah, I thought you could waitThese bitches surroundin' me (Black bodies)All want something out meThen they talk about meWould be lost without meWe could've been somebodyThought you'd be different 'bout itNow I know you naughtySo let's get on with it"
Guilt Trip,"[Produced by Kanye West, Mike Dean, S1, Travis Scott, and Ackeejuice Rockers][Intro: Kanye West]I need to call it offI need to, I need to make it known'Nother one, something goneCapricornDancing out on the lawnFancy like the things she likesI'm losing myI'm living mine[Chorus: Popcaan & Kanye West]All dem a gwaan, dem a, dem a, dem a gwaanDem a gwaan, gwaan, gwaan, sof-sof-softer, sof-softer ('Nother one)All dem a gwaan, dem a, dem a, dem a gwaanGwaan, gwaan, gwaan, gwaan, softer than clay[Verse: Kanye West]Maybe it's 'cause she into Leos and I was into triosPlus all the trips to Rio couldn't have helpedIt's gettin' cold, better bring your ski clothesPeekin' through the keyhole, the door locked, by myselfAnd I'm feelin' it right now'Cause it's the time when my heart got shot downBlocka, blocka, blocka-blocka, blockaPour a little champagne, cranberry vodkaFeelin' lied to like parents never said you adoptedYour feelings like Zulu, then nothing is a ShakaI hit her with Jamaican dick, I'm the new ShabbaShe lookin' for her daddy, call me Big PoppaOn to the next sagaFocus on the future and let the crew knock herStar Wars fur, yeah, I'm rockin' ChewbaccaThe one Chief Rocka, number-one Chief Rocka, oh"
Send It Up,"[Produced by Kanye West, Daft Punk, Gesaffelstein, Brodinski, Arca and Mike Dean][Intro: Beenie Man]Relivin' the past?Your loss![Verse 1: King Louie]Rockstar, bitch, call me ElvisM.O.B, she call me selfishSuccess got 'em jealousShorty's killin', while I'm drillin'Tattoos, how they break the newsIt was real if you made the newsLast night, my bitches came in twosAnd they both sucked like they came to loseDropped out first day of school'Cause niggas got cocaine to moveI be goin' hard, I got a name to proveKillin' 'em, honey how I make the pain improve[Chorus: King Louie]We can send this bitch up, it can go downWe can send this bitch up, it can go downWe can send this bitch up, it can go downWe can send this bitch up, it can go down(Woo, woo, woo, woo)We can send this bitch up, it can go downWe can send this bitch up, it can go downWe can send this bitch up, it can go downWe can send this bitch up, it can go down (Woo)"
Bound 2,"[Intro: Ponderosa Twins Plus One & Brenda Lee]B-B-B-B-Bound to fall in loveBound to fall in loveUh-huh, honey[Chorus: Kanye West, Ponderosa Twins Plus One & Brenda Lee]All them other niggas lame, and you know it nowWhen a real nigga hold you down, you s'posed to drown(Bound to fall in love)Bound(B-B-B-B-Bound to fall in love)BoundUh-huh, honey[Verse 1: Kanye West]What you doin' in the club on a Thursday?She say she only here for her girl birthdayThey ordered champagne but still look thirstyRock Forever 21, but just turned thirtyI know I got a bad reputationWalk-around-always-mad reputationLeave-a-pretty-girl-sad reputationStart a Fight Club, Brad reputationI turnt the nightclub out of the basementI'll turn the plane around, your ass keep complainin'How you gon' be mad on vacation?Dutty wining 'round all these JamaicansUh, this that prom shitThis that what-we-do-don't-tell-your-mom shitThis that red-cup-all-on-the-lawn shitGot a fresh cut, straight out the salon, bitch"
No Church In The Wild,"[Produced By 88 Keys, Kanye West & Mike Dean][Chorus: Frank Ocean]Human beings in a mobWhat's a mob to a king?What's a king to a god?What's a god to a non-believerWho don't believe in anything?Will he make it out alive?Alright, alrightNo church in the wild[Verse 1: JAY-Z]Tears on the mausoleum floorBlood stains the Colosseum doorsLies on the lips of a priestThanksgiving disguised as a feastRolling in the Rolls-Royce CornicheOnly the doctors got this, I'm hiding from policeCocaine seatsAll white like I got the whole thing bleachedDrug dealer chicI'm wondering if a thug's prayers reachIs Pius pious 'cause God loves pious?Socrates asked whose bias do y'all seek?All for Plato, screechI'm out here balling, I know y'all hear my sneaksJesus was a carpenter, Yeezy laid beatsHova flow the Holy Ghost, get the hell up out your seatsPreach"
Lift Off,"[Intro: Four Tops]Oh, oh, oh, ohOh, oh, oh, ohI had for usYou turned my dreams into dustI watch a phone that I had for usYou turned my dreams into dust[Verse: Kanye West & T.I.]I know Obama was heaven-sentBut ever since Trump won, it proved that I could be presidentYeah, you can, at what cost though?Don't that go against the teachings that Ye taught for?Yo, Tip, I hear your side and everybody talk thoughBut ain't goin' against the grain everything I fought for?Prolly so, Ye, but where you tryna go with this?It's some shit you just don't align with and don't go againstYou just readin' the headlines, you don't see the fine printYou on some choosin'-side shit, I'm on some unified shitIt's bigger than your selfish agendaIf your election ain't gon' stop police from murderin' niggasThen shit…Bruh, I never ever stopped fightin' for the peopleActually, wearin' the hat'll show people that we equalYou gotta see the vantage point of the peopleWhat makes you feel equal makes them feel evilSee that's the problem with this damn nationAll Blacks gotta be Democrats, manWe ain't made it off the plantationFuck who you choose as your political partyYou representin' dudes just seem crude and cold-heartedWith blatant disregard for the people who put you in positionDon't you feel an obligation to them?I feel a obligation to show people new ideasAnd if you wanna hear 'em, there go two right hereMake America Great Again had a negative perceptionI took it, wore it, rocked it, gave it a new directionAdded empathy, care and love and affectionAnd y'all simply questionin' my methodsWhat you willin' to lose for the point to be proved?This shit is stubborn, selfish, bullheaded, even for youYou wore a dusty-ass hat to represent the same viewsAs white supremacy, man, we expect better from youAll them times you sounded crazy, we defended you, homieNot just to be let down when we depend on you, homieThat's why it's important to know what direction you're goin' now'Cause everything that you built can be destroyed and torn downYou think I ain't concerned about how I affect the past?I mean, that hat stayed in my closet like 'bout a year and a halfThen one day I was like, ""Fuck it, I'ma do me.""I was in the sunken place and then I found the new meNot worried about some image that I gotta keep upLot of people agree with me, but they're too scared to speak upThe greater good of the people is firstHave you considered all the damage and the people you hurt?You had a bad idea and you're makin' it worseThis shit's just as bad as Catholic preachers rapin' in churchY'all been leadin' with hate, see I just approach it differentLike a gang truce, the first Blood to shake the Crip's handI know everybody emotionalIs it better if I rap about crack? Huh? 'Cause it's cultural?Or how about I'ma shoot you? Or fuck your bitch?Or how about all this Gucci, 'cause I'm fuckin' rich?You'll deal with God for the lack of respectStartin' to make it seem like Donnie cut you a checkNow you toyin' with hot lava, better be careful with thatWhat's it mean to gain the world if you ain't standin' for shit?Okay I gotta say it, Ye, you sound high as a bigotYeah, genocide and slavery, we should just try and forgetAnd all that free thought shit, find a better defenseBut if Ye just stuck in his way, he can leave it at thatFuck it"
